stream_index,source_ip,dest_ip,pkt_count,tcp_src_port,tcp_dest_port,tls_version,tls_max_client_tls_version,tls_server_name,tls_cipher_suites_length,tls_is_heartbeat_present,tls_is_record_limit_extension_present,tls_supported_group_length,tls_key_share_length,tls_selected_group,tls_handshake_ciphersuite,tls_key_share_group,tls_ec_points_format_length,tls_sig_hash_alg_length,tls_cert_length,tls_cert_size,tls_cert_begin,tls_cert_end,tls_handshake_extensions_length,tls_ja3_hash
0,94.140.114.216,192.168.64.11,7,9002,33524,,,,,,,,,,,,,,,,,,,
1,192.168.64.11,142.250.179.227,6,37078,443,0x0304,0x304,fonts.gstatic.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
2,192.168.64.11,142.250.200.46,14,35986,443,0x0304,0x304,consent.google.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
3,192.168.64.11,140.82.121.4,19,51448,443,0x0304,0x304,github.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
4,192.168.64.11,140.82.121.4,6,51450,443,0x0304,0x304,github.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
5,192.168.64.11,185.199.109.154,23,60768,443,0x0304,0x304,github.githubassets.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
8,192.168.64.11,185.199.109.154,5,60774,443,0x0304,0x304,github.githubassets.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
9,192.168.64.11,185.199.109.154,6,60776,443,0x0304,0x304,github.githubassets.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
6,192.168.64.11,185.199.109.154,6,60770,443,0x0304,0x304,github.githubassets.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
11,192.168.64.11,185.199.109.133,9,52874,443,0x0304,0x304,avatars.githubusercontent.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
7,192.168.64.11,185.199.109.154,6,60772,443,0x0304,0x304,github.githubassets.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
10,192.168.64.11,185.199.109.154,6,60778,443,0x0304,0x304,github.githubassets.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
12,192.168.64.11,185.199.109.154,17,60782,443,0x0304,0x304,github.githubassets.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
13,192.168.64.11,140.82.114.22,9,46628,443,0x0304,0x304,collector.github.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
14,192.168.64.11,140.82.121.5,15,47440,443,0x0304,0x304,api.github.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
15,192.168.64.11,142.250.200.5,6,57136,443,0x0304,0x304,gmail.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
16,192.168.64.11,142.250.200.5,15,57138,443,0x0304,0x304,gmail.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
17,192.168.64.11,172.217.16.229,25,56244,443,0x0304,0x304,mail.google.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
18,192.168.64.11,216.58.212.234,13,41262,443,0x0304,0x304,fonts.googleapis.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
19,192.168.64.11,142.250.179.232,13,47446,443,0x0304,0x304,www.googletagmanager.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
20,192.168.64.11,142.250.180.3,6,33146,443,0x0304,0x304,www.gstatic.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
22,192.168.64.11,172.217.16.238,17,40884,443,0x0304,0x304,www.google-analytics.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
23,192.168.64.11,216.239.32.36,13,53286,443,0x0304,0x304,region1.google-analytics.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
24,192.168.64.11,157.240.221.35,4,39604,443,0x0304,0x304,www.facebook.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
25,192.168.64.11,157.240.221.35,13,39606,443,0x0304,0x304,www.facebook.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
27,192.168.64.11,157.240.221.16,26,42216,443,0x0304,0x304,static.xx.fbcdn.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
30,192.168.64.11,157.240.221.16,5,42222,443,0x0304,0x304,static.xx.fbcdn.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
28,192.168.64.11,157.240.221.16,5,42218,443,0x0304,0x304,static.xx.fbcdn.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
29,192.168.64.11,157.240.221.16,4,42220,443,0x0304,0x304,static.xx.fbcdn.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
31,192.168.64.11,157.240.221.16,6,42224,443,0x0304,0x304,static.xx.fbcdn.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
26,192.168.64.11,157.240.221.16,4,42214,443,0x0304,0x304,static.xx.fbcdn.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
32,192.168.64.11,54.239.28.85,6,50546,443,0x0303,0x304,amazon.com,16.0,False,False,4.0,2,,0xc02f,19018,1,8.0,3,4672,2021-10-06 00:00:00 (UTC),2022-09-19 23:59:59 (UTC),21,cd08e31494f9531f560d64c695473da9
33,192.168.64.11,54.239.28.85,8,50548,443,0x0303,0x304,amazon.com,16.0,False,False,4.0,2,,0xc02f,19018,1,8.0,3,4672,2021-10-06 00:00:00 (UTC),2022-09-19 23:59:59 (UTC),21,cd08e31494f9531f560d64c695473da9
34,192.168.64.11,216.137.46.199,73,38194,443,0x0304,0x304,www.amazon.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
35,192.168.64.11,108.138.235.217,50,59856,443,0x0304,0x304,images-na.ssl-images-amazon.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
37,192.168.64.11,108.138.235.217,6,59860,443,0x0304,0x304,images-na.ssl-images-amazon.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
36,192.168.64.11,108.138.235.217,6,59858,443,0x0304,0x304,images-na.ssl-images-amazon.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
38,192.168.64.11,54.192.226.66,7,40760,443,0x0304,0x304,m.media-amazon.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
44,192.168.64.11,54.192.226.66,57,40772,443,0x0304,0x304,m.media-amazon.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
43,192.168.64.11,54.192.226.66,6,40770,443,0x0304,0x304,m.media-amazon.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
40,192.168.64.11,54.192.226.66,7,40764,443,0x0304,0x304,m.media-amazon.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
41,192.168.64.11,108.138.235.217,33,59868,443,0x0304,0x304,images-na.ssl-images-amazon.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
42,192.168.64.11,54.192.226.66,4,40768,443,0x0304,0x304,m.media-amazon.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
39,192.168.64.11,54.192.226.66,4,40762,443,0x0304,0x304,m.media-amazon.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
46,192.168.64.11,54.192.226.66,34,40776,443,0x0304,0x304,m.media-amazon.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
45,192.168.64.11,52.55.181.3,65,56916,443,0x0303,0x304,fls-na.amazon.com,16.0,False,False,4.0,2,,0xc02f,2570,1,8.0,4,4995,2022-04-16 00:00:00 (UTC),2023-04-06 23:59:59 (UTC),26,cd08e31494f9531f560d64c695473da9
47,192.168.64.11,52.46.145.203,6,49006,443,0x0303,0x304,completion.amazon.com,16.0,False,False,4.0,2,,0xc02f,31354,1,8.0,4,5015,2022-03-15 00:00:00 (UTC),2023-02-18 23:59:59 (UTC),21,cd08e31494f9531f560d64c695473da9
48,192.168.64.11,209.54.183.75,9,33830,443,0x0303,0x304,aax-us-iad.amazon.com,16.0,False,False,4.0,2,,0xc02f,10794,1,8.0,4,5025,2021-11-08 00:00:00 (UTC),2022-11-07 23:59:59 (UTC),21,cd08e31494f9531f560d64c695473da9
50,192.168.64.11,209.54.183.75,9,33834,443,0x0303,0x304,aax-us-iad.amazon.com,16.0,False,False,4.0,2,,0xc02f,19018,1,8.0,4,5025,2021-11-08 00:00:00 (UTC),2022-11-07 23:59:59 (UTC),21,cd08e31494f9531f560d64c695473da9
49,192.168.64.11,209.54.183.75,12,33832,443,0x0303,0x304,aax-us-iad.amazon.com,16.0,False,False,4.0,2,,0xc02f,23130,1,8.0,4,5025,2021-11-08 00:00:00 (UTC),2022-11-07 23:59:59 (UTC),21,cd08e31494f9531f560d64c695473da9
51,192.168.64.11,52.94.243.89,7,55732,443,0x0303,0x304,assoc-na.associates-amazon.com,16.0,False,False,4.0,2,,0xc02f,14906,1,8.0,4,4988,2022-06-18 00:00:00 (UTC),2023-06-17 23:59:59 (UTC),21,cd08e31494f9531f560d64c695473da9
52,192.168.64.11,54.239.17.248,8,42554,443,0x0303,0x304,aax-us-east-retail-direct.amazon.com,16.0,False,False,4.0,2,,0xc02f,35466,1,8.0,4,5025,2021-11-08 00:00:00 (UTC),2022-11-07 23:59:59 (UTC),21,cd08e31494f9531f560d64c695473da9
54,192.168.64.11,18.165.201.17,16,47662,443,0x0304,0x304,player.live-video.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
56,192.168.64.11,18.165.196.141,17,49238,443,0x0304,0x304,d23tl967axkois.cloudfront.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
53,192.168.64.11,52.46.143.155,14,38698,443,0x0303,0x304,unagi-na.amazon.com,16.0,False,False,4.0,2,,0xc02f,27242,1,8.0,4,5139,2022-03-10 00:00:00 (UTC),2023-03-02 23:59:59 (UTC),21,cd08e31494f9531f560d64c695473da9
57,192.168.64.11,18.164.66.37,12,35192,443,0x0304,0x304,d2in0p32vp1pij.cloudfront.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
55,192.168.64.11,52.46.143.155,19,38702,443,0x0303,0x304,unagi-na.amazon.com,16.0,False,False,4.0,2,,0xc02f,19018,1,8.0,4,5139,2022-03-10 00:00:00 (UTC),2023-03-02 23:59:59 (UTC),21,cd08e31494f9531f560d64c695473da9
59,192.168.64.11,18.165.201.17,10,47672,443,0x0304,0x304,player.live-video.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
58,192.168.64.11,52.46.143.155,10,38708,443,0x0303,0x304,unagi-na.amazon.com,16.0,False,False,4.0,2,,0xc02f,27242,1,8.0,,,,,5,cd08e31494f9531f560d64c695473da9
62,192.168.64.11,192.108.239.254,10,46720,443,0x0304,0x304,4b64d6fa612f.us-east-1.playback.live-video.net,16.0,False,False,4.0,2,29,0x1302,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
60,192.168.64.11,52.94.233.61,20,56650,443,0x0303,0x304,unagi.amazon.com,16.0,False,False,4.0,2,,0xc02f,43690,1,8.0,4,5139,2022-03-10 00:00:00 (UTC),2023-03-02 23:59:59 (UTC),21,cd08e31494f9531f560d64c695473da9
61,192.168.64.11,52.46.143.155,7,38714,443,0x0303,0x304,unagi-na.amazon.com,16.0,False,False,4.0,2,,0xc02f,43690,1,8.0,,,,,5,cd08e31494f9531f560d64c695473da9
63,192.168.64.11,209.54.183.75,4,33860,443,0x0303,0x304,aax-us-iad.amazon.com,16.0,False,False,4.0,2,,0xc02f,19018,1,8.0,,,,,5,cd08e31494f9531f560d64c695473da9
64,192.168.64.11,52.46.143.155,4,38720,443,0x0303,0x304,unagi-na.amazon.com,16.0,False,False,4.0,2,,0xc02f,56026,1,8.0,,,,,5,cd08e31494f9531f560d64c695473da9
65,192.168.64.11,52.46.143.155,4,38722,443,0x0303,0x304,unagi-na.amazon.com,16.0,False,False,4.0,2,,0xc02f,51914,1,8.0,,,,,5,cd08e31494f9531f560d64c695473da9
66,192.168.64.11,34.217.186.86,12,47450,443,0x0303,0x304,player.stats.live-video.net,16.0,False,False,4.0,2,,0xc02f,14906,1,8.0,4,5081,2022-06-15 00:00:00 (UTC),2023-07-13 23:59:59 (UTC),26,cd08e31494f9531f560d64c695473da9
70,192.168.64.11,99.181.79.10,11,50110,443,0x0304,0x304,video-weaver.lhr03.hls.live-video.net,16.0,False,False,4.0,2,29,0x1302,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
67,192.168.64.11,52.46.143.155,14,38726,443,0x0303,0x304,unagi-na.amazon.com,16.0,False,False,4.0,2,,0xc02f,60138,1,8.0,4,5139,2022-03-10 00:00:00 (UTC),2023-03-02 23:59:59 (UTC),21,cd08e31494f9531f560d64c695473da9
71,192.168.64.11,52.46.130.91,30,46352,443,0x0303,0x304,s.amazon-adsystem.com,16.0,False,False,4.0,2,,0xc02f,47802,1,8.0,4,5002,2022-05-09 00:00:00 (UTC),2023-04-21 23:59:59 (UTC),21,cd08e31494f9531f560d64c695473da9
68,192.168.64.11,34.217.186.86,4,47454,443,0x0303,0x304,player.stats.live-video.net,16.0,False,False,4.0,2,,0xc02f,6682,1,8.0,4,5081,2022-06-15 00:00:00 (UTC),2023-07-13 23:59:59 (UTC),26,cd08e31494f9531f560d64c695473da9
69,192.168.64.11,34.217.186.86,6,47456,443,0x0303,0x304,player.stats.live-video.net,16.0,False,False,4.0,2,,0xc02f,10794,1,8.0,4,5081,2022-06-15 00:00:00 (UTC),2023-07-13 23:59:59 (UTC),26,cd08e31494f9531f560d64c695473da9
72,192.168.64.11,104.18.19.126,10,37018,443,0x0304,0x304,dsum-sec.casalemedia.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
77,192.168.64.11,104.22.24.87,11,56242,443,0x0304,0x304,mwzeom.zeotap.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
80,192.168.64.11,104.86.132.41,11,38046,443,0x0304,0x304,tags.bluekai.com,16.0,False,False,4.0,2,29,0x1302,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
75,192.168.64.11,212.82.100.182,12,35194,443,0x0303,0x304,cms.analytics.yahoo.com,16.0,False,False,4.0,2,,0xc02f,43690,1,8.0,4,5964,2022-03-15 00:00:00 (UTC),2022-09-07 23:59:59 (UTC),38,cd08e31494f9531f560d64c695473da9
74,192.168.64.11,52.58.212.93,10,45796,443,0x0303,0x304,x.bidswitch.net,16.0,False,False,4.0,2,,0xc02f,14906,1,8.0,3,4578,2022-04-05 00:00:00 (UTC),2023-05-04 23:59:59 (UTC),13,cd08e31494f9531f560d64c695473da9
73,192.168.64.11,18.156.126.13,9,49888,443,0x0303,0x304,aa.agkn.com,16.0,False,False,4.0,2,,0xc02f,51914,1,8.0,2,2779,2020-07-25 00:00:00 (UTC),2022-09-18 12:00:00 (UTC),26,cd08e31494f9531f560d64c695473da9
81,192.168.64.11,154.57.158.26,8,43120,443,0x0303,0x304,ads.stickyadstv.com,16.0,False,False,4.0,2,,0x0035,64250,1,8.0,3,3931,2022-05-19 00:00:00 (UTC),2023-05-19 23:59:59 (UTC),19,cd08e31494f9531f560d64c695473da9
76,192.168.64.11,18.156.0.31,14,57578,443,0x0304,0x304,ups.analytics.yahoo.com,16.0,False,False,4.0,2,29,0x1302,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
78,192.168.64.11,18.157.240.91,10,44022,443,0x0303,0x304,t.myvisualiq.net,16.0,False,False,4.0,2,,0xc02f,56026,1,8.0,4,5120,2021-12-12 12:29:51 (UTC),2023-01-13 12:29:51 (UTC),13,cd08e31494f9531f560d64c695473da9
79,192.168.64.11,3.230.192.196,13,34344,443,0x0303,0x304,amazon.partners.tremorhub.com,16.0,False,False,4.0,2,,0xc02f,35466,1,8.0,4,5138,2022-03-24 00:00:00 (UTC),2023-04-22 23:59:59 (UTC),26,cd08e31494f9531f560d64c695473da9
83,192.168.64.11,108.138.215.190,12,41924,443,0x0304,0x304,www.imdb.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
86,192.168.64.11,52.18.211.80,10,36102,443,0x0303,0x304,beacon.krxd.net,16.0,False,False,4.0,2,,0xc02f,2570,1,8.0,3,5023,2021-11-03 00:00:00 (UTC),2022-11-02 23:59:59 (UTC),26,cd08e31494f9531f560d64c695473da9
82,192.168.64.11,52.46.130.91,18,46374,443,0x0303,0x304,s.amazon-adsystem.com,16.0,False,False,4.0,2,,0xc02f,39578,1,8.0,,,,,5,cd08e31494f9531f560d64c695473da9
85,192.168.64.11,52.46.130.91,6,46380,443,0x0303,0x304,s.amazon-adsystem.com,16.0,False,False,4.0,2,,0xc02f,56026,1,8.0,,,,,5,cd08e31494f9531f560d64c695473da9
84,192.168.64.11,52.46.130.91,12,46378,443,0x0303,0x304,s.amazon-adsystem.com,16.0,False,False,4.0,2,,0xc02f,39578,1,8.0,,,,,5,cd08e31494f9531f560d64c695473da9
87,192.168.64.11,52.46.130.91,10,46384,443,0x0303,0x304,s.amazon-adsystem.com,16.0,False,False,4.0,2,,0xc02f,19018,1,8.0,,,,,5,cd08e31494f9531f560d64c695473da9
88,192.168.64.11,52.46.130.91,12,46386,443,0x0303,0x304,s.amazon-adsystem.com,16.0,False,False,4.0,2,,0xc02f,47802,1,8.0,,,,,5,cd08e31494f9531f560d64c695473da9
90,192.168.64.11,104.244.42.131,10,44572,443,0x0304,0x304,analytics.twitter.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
89,192.168.64.11,54.237.50.216,7,41800,443,0x0303,0x304,usersync.samplicio.us,16.0,False,False,4.0,2,,0xc02f,60138,1,8.0,4,4927,2022-03-18 00:00:00 (UTC),2023-04-16 23:59:59 (UTC),13,cd08e31494f9531f560d64c695473da9
91,192.168.64.11,188.65.124.66,10,40496,443,0x0304,0x304,public-prod-dspcookiematching.dmxleo.com,16.0,False,False,4.0,2,29,0x1302,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
92,192.168.64.11,213.19.162.90,8,35650,443,0x0303,0x304,pixel.rubiconproject.com,16.0,False,False,4.0,2,,0x009d,19018,1,8.0,2,2974,2022-03-08 00:00:00 (UTC),2023-04-04 23:59:59 (UTC),24,cd08e31494f9531f560d64c695473da9
93,192.168.64.11,52.213.169.152,10,47764,443,0x0303,0x304,dpm.demdex.net,16.0,False,False,4.0,2,,0xc02f,43690,1,8.0,3,3911,2021-10-19 00:00:00 (UTC),2022-11-19 23:59:59 (UTC),13,cd08e31494f9531f560d64c695473da9
95,192.168.64.11,34.98.67.61,11,35964,443,0x0304,0x304,odr.mookie1.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
97,192.168.64.11,185.94.180.126,9,52272,443,0x0303,0x304,sync.search.spotxchange.com,16.0,False,False,4.0,2,,0xc02f,10794,1,8.0,2,2825,2022-05-02 00:00:00 (UTC),2023-05-09 23:59:59 (UTC),15,cd08e31494f9531f560d64c695473da9
98,192.168.64.11,142.250.179.226,13,49410,443,0x0304,0x304,cm.g.doubleclick.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
94,192.168.64.11,52.207.33.0,9,40320,443,0x0303,0x304,ads.samba.tv,16.0,False,False,4.0,2,,0xc02f,51914,1,8.0,4,5046,2022-05-13 00:00:00 (UTC),2023-06-11 23:59:59 (UTC),26,cd08e31494f9531f560d64c695473da9
96,192.168.64.11,37.157.3.30,13,48686,443,0x0303,0x304,c1.adform.net,16.0,False,False,4.0,2,,0xc02f,2570,1,8.0,3,4365,2021-09-06 00:00:00 (UTC),2022-10-07 23:59:59 (UTC),30,cd08e31494f9531f560d64c695473da9
99,192.168.64.11,108.138.212.101,11,48420,443,0x0304,0x304,dr3fr5q4g2ul9.cloudfront.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
100,192.168.64.11,108.156.32.30,12,48006,443,0x0304,0x304,d2ef20sk9hi1u3.cloudfront.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
102,192.168.64.11,52.29.252.234,13,33282,443,0x0303,0x304,bs.serving-sys.com,16.0,False,False,4.0,2,,0xc02f,56026,1,8.0,4,4972,2022-04-10 00:00:00 (UTC),2023-05-09 23:59:59 (UTC),26,cd08e31494f9531f560d64c695473da9
101,192.168.64.11,3.81.232.90,10,33656,443,0x0303,0x304,usermatch.krxd.net,16.0,False,False,4.0,2,,0xc02f,43690,1,8.0,3,4971,2022-06-06 00:00:00 (UTC),2023-06-05 23:59:59 (UTC),26,cd08e31494f9531f560d64c695473da9
104,192.168.64.11,34.98.64.218,11,57334,443,0x0304,0x304,us-u.openx.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
103,192.168.64.11,18.165.201.50,13,44108,443,0x0304,0x304,sb.scorecardresearch.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
105,192.168.64.11,104.18.19.126,7,37084,443,0x0304,0x304,ssum-sec.casalemedia.com,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
106,192.168.64.11,3.74.119.102,10,46822,443,0x0303,0x304,lm.serving-sys.com,16.0,False,False,4.0,2,,0xc02f,23130,1,8.0,4,4937,2022-02-15 00:00:00 (UTC),2023-03-16 23:59:59 (UTC),15,cd08e31494f9531f560d64c695473da9
107,192.168.64.11,77.243.60.138,11,60618,443,0x0304,0x304,uipglob.semasio.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
108,192.168.64.11,37.252.173.22,9,58384,443,0x0303,0x304,ib.adnxs.com,16.0,False,False,4.0,2,,0xc02b,31354,1,8.0,2,2218,2022-02-11 00:00:00 (UTC),2023-03-14 23:59:59 (UTC),44,cd08e31494f9531f560d64c695473da9
109,192.168.64.11,185.64.189.110,8,36578,443,0x0303,0x304,image2.pubmatic.com,16.0,False,False,4.0,2,,0xc02f,43690,1,8.0,3,3907,2021-08-04 00:00:00 (UTC),2022-09-04 23:59:59 (UTC),24,cd08e31494f9531f560d64c695473da9
111,192.168.64.11,213.19.162.80,8,36440,443,0x0303,0x304,token.rubiconproject.com,16.0,False,False,4.0,2,,0x009d,43690,1,8.0,2,2974,2022-03-08 00:00:00 (UTC),2023-04-04 23:59:59 (UTC),24,cd08e31494f9531f560d64c695473da9
110,192.168.64.11,18.198.126.47,11,49446,443,0x0303,0x304,loadus.exelator.com,16.0,False,False,4.0,2,,0xc02f,14906,1,8.0,2,2955,2022-06-08 00:00:00 (UTC),2023-06-10 23:59:59 (UTC),26,cd08e31494f9531f560d64c695473da9
113,192.168.64.11,151.101.62.132,10,42306,443,0x0304,0x304,pi.ispot.tv,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
114,192.168.64.11,142.250.187.194,12,41282,443,0x0304,0x304,googleads.g.doubleclick.net,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
115,192.168.64.11,185.64.190.78,12,41366,443,0x0303,0x304,image6.pubmatic.com,16.0,False,False,4.0,2,,0xc02f,43690,1,8.0,3,3907,2021-08-04 00:00:00 (UTC),2022-09-04 23:59:59 (UTC),24,cd08e31494f9531f560d64c695473da9
116,192.168.64.11,141.226.228.48,12,40718,443,0x0303,0x304,sync.taboola.com,16.0,False,False,4.0,2,,0xc02b,23130,1,8.0,3,3549,2021-11-28 00:00:00 (UTC),2022-12-29 23:59:59 (UTC),38,cd08e31494f9531f560d64c695473da9
112,192.168.64.11,45.79.188.190,8,54956,443,0x0303,0x304,lciapi.ninthdecimal.com,16.0,False,False,4.0,2,,0xc030,39578,1,8.0,4,5125,2021-09-25 07:11:39 (UTC),2022-10-27 07:11:39 (UTC),32,cd08e31494f9531f560d64c695473da9
117,192.168.64.11,142.250.180.3,14,33338,443,0x0304,0x304,www.google.co.uk,16.0,False,False,4.0,2,29,0x1301,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
124,192.168.64.11,91.198.174.194,13,35930,443,0x0304,0x304,wikipedia.com,16.0,False,False,4.0,2,29,0x1302,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
125,192.168.64.11,91.198.174.194,7,35932,443,0x0304,0x304,wikipedia.com,16.0,False,False,4.0,2,29,0x1302,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
126,192.168.64.11,91.198.174.192,17,49050,443,0x0304,0x304,www.wikipedia.org,16.0,False,False,4.0,2,29,0x1302,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
128,192.168.64.11,91.198.174.208,6,46702,443,0x0304,0x304,upload.wikimedia.org,16.0,False,False,4.0,2,29,0x1302,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
127,192.168.64.11,52.94.233.61,9,56772,443,0x0303,0x304,unagi.amazon.com,16.0,False,False,4.0,2,,0xc02f,19018,1,8.0,,,,,5,cd08e31494f9531f560d64c695473da9
129,192.168.64.11,91.198.174.192,6,49056,443,0x0304,0x304,en.wikipedia.org,16.0,False,False,4.0,2,29,0x1302,29,1,8.0,,,,,46,cd08e31494f9531f560d64c695473da9
136,192.168.64.11,77.246.159.165,11,59224,443,,,,,,,,,,,,,,,,,,,
